danceability,energy,valence,acousticness,instrumentalness,liveness,speechiness,tempo,loudness,duration_ms,mode
0.761,0.556,0.931,0.295,0.0003089522693322,0.0778865386570712,0.0495517788292477,100.026,-5.787,234929,1
0.773,0.84,0.351,0.0221,0.0072238450893195,0.013804280976397,0.0399896482161584,112.009,-8.982,380251,1
0.557,0.343,0.112,0.664,5.8898265463109154e-05,0.1151128071005045,0.0355601753985508,64.961,-9.641,220309,1
0.701,0.807,0.918,0.4,0.2013068567050353,0.100749903100143,0.035463664275569,115.987,-8.606,183896,0
0.718,0.677,0.233,0.0093,0.0029955089797984,0.0550562057480784,0.089749292143608,109.955,-7.595,246743,1
0.51,0.855,0.669,0.00377,0.0,0.0510732701840006,0.0417175933518685,152.018,-4.208,184698,1
0.606,0.587,0.649,0.153,0.0604363688038306,0.0703652626605634,0.0344014267173324,149.818,-7.474,230058,1
0.727,0.782,0.655,0.0563,0.289680075114454,0.2029408439966903,0.0411419433311751,119.992,-8.529,177598,0
0.751,0.819,0.697,0.255,0.0,0.211880359035499,0.0400857235392856,131.842,-4.372,172264,0
0.508,0.43,0.324,0.83,0.0004409027880792,0.0889262091944015,0.0329511001396859,130.09,-9.475,212953,0
0.577,0.587,0.5,0.69,0.0,0.2374408560150342,0.0362354925820954,131.52,-5.814,245454,1
0.624,0.769,0.466,0.21,0.0001469891965587,0.100749903100143,0.0485996698360623,105.099,-6.277,222298,1
0.616,0.975,0.742,0.172,1.619998687801417e-06,0.1336563848126735,0.1889660995126232,132.054,-0.425,192653,0
0.695,0.633,0.557,0.0612,0.0001949809899712,0.0885601769794802,0.0581745640510721,96.782,-4.946,232186,1
0.805,0.57,0.867,0.175,3.3799942878128712e-06,0.108854404912082,0.0962188577405429,122.984,-9.007,167813,0
0.916,0.583,0.661,0.186,0.0,0.0767758388020495,0.2159175062224701,141.095,-8.067,229133,1
0.645,0.646,0.295,0.0615,3.0399537929364608e-05,0.0713899960866729,0.0418135028134103,115.842,-8.334,228639,1
0.552,0.702,0.564,0.117,2.059978782291389e-05,0.0998453349697161,0.1458304482115395,169.994,-5.707,178426,1
0.747,0.507,0.438,0.2,0.059023340449461,0.1106465200870636,0.035174075007654,104.978,-10.171,210373,1
0.639,0.676,0.852,0.296,0.0005898260184293,0.1655144384775733,0.1043600153242427,179.971,-7.376,190680,0
0.695,0.942,0.915,0.136,1.829998325552043e-06,0.2904282981198061,0.0731575206177264,170.054,-5.148,138000,0
0.732,0.658,0.629,0.455,1.059999438200397e-06,0.2978798974282269,0.2350721221794835,139.866,-9.24,123045,0
0.873,0.616,0.542,0.0487,0.0,0.1475575643576146,0.1043600153242427,130.13,-8.565,199567,0
0.798,0.681,0.434,0.219,0.0019680620946982,0.128393214768399,0.0697126124113003,101.005,-4.818,188484,0
0.711,0.718,0.689,0.379,0.0,0.1124354293297881,0.0947645764444229,159.953,-5.671,173991,1
0.571,0.549,0.447,0.18,0.0,0.1552928844060353,0.3393253056036194,119.497,-7.38,194786,0
0.672,0.838,0.783,0.0334,0.0,0.0582689081239757,0.0439211870579281,139.978,-5.246,195859,0
0.545,0.745,0.413,0.0452,0.0,0.0868196919525601,0.0281986543586787,106.094,-3.098,306626,1
0.858,0.677,0.584,0.106,0.0,0.2199384203652614,0.1115413747329074,100.046,-4.294,120600,1
0.8,0.729,0.708,0.0921,0.0,0.1204461530758671,0.1061601958283906,129.926,-5.69,173538,0
0.6,0.663,0.286,0.225,0.0,0.1124354293297881,0.0465972853767821,121.07,-5.802,245493,1
0.826,0.638,0.699,0.13,5.109869443947591e-05,0.0938545754716242,0.0998453349697161,98.015,-7.572,163971,0
0.599,0.946,0.747,0.000938,0.0105442138756711,0.0793655553807404,0.0437297628613252,151.647,-4.263,142514,1
0.891,0.698,0.271,0.21,6.679776897935424e-05,0.0722276339968807,0.1133286853070031,100.026,-6.507,177600,1
0.711,0.578,0.448,0.0737,0.0,0.1061601958283906,0.0782564979657674,146.097,-7.759,149589,1
0.831,0.486,0.716,0.439,0.0,0.069619341880057,0.0879192980378835,128.046,-8.501,123989,1
0.706,0.631,0.289,0.656,0.0,0.2045721657287744,0.0359461267734691,111.93,-5.812,240000,0
0.775,0.694,0.655,0.177,4.059917584230713e-05,0.1441003439737568,0.2183319943169877,81.986,-7.344,147586,1
0.381,0.844,0.492,0.00263,0.0,0.1848184369925418,0.0516432331518384,167.9,-4.236,187266,0
0.558,0.55,0.178,0.348,1.15999932720052e-06,0.1160036757563061,0.0356566772080346,95.881,-6.712,197706,0
0.865,0.573,0.563,0.0863,0.0,0.2662030407746567,0.0656004570839488,94.999,-5.501,155960,1
0.763,0.626,0.78,0.0859,0.2029408439966903,0.1864795669426183,0.0423887664917866,100.02,-5.637,156000,0
0.591,0.515,0.627,0.272,0.0,0.1115413747329074,0.3336110043401807,129.968,-8.105,217850,0
0.505,0.657,0.252,0.373,0.0010694279580202,0.1186715297174986,0.0313048498284124,196.0,-5.24,178520,0
0.696,0.678,0.522,0.31,0.0,0.174793290373163,0.0671912495403232,102.48,-7.002,188064,0
0.664,0.839,0.48,0.33,0.0,0.6626879730752367,0.0385474096122389,109.984,-3.379,173370,0
0.739,0.766,0.82,0.272,0.0,0.3506568716131694,0.0703652626605634,133.067,-6.459,135082,1
0.369,0.192,0.148,0.555,8.349965138944058e-06,0.0911195933674839,0.0392207131532812,175.212,-12.151,228013,0
