venta_id,fecha_venta,cliente_id,producto_id,canal_venta,cantidad,precio_unitario,descuento,importe_total
1001,2025-01-02,1,101,Tienda,2,80,0.0,160.0
1002,02/01/2025,2,101,Tienda,1,80,0.0,80.0
1003,2025/01/03,3,103,Online,1,120,0.1,120.0
1004,03-01-2025,4,104,Tienda,3,150,0.0,450.0
1005,2025-01-04,5,105,Online,2,95,0.05,180.5
1006,2025-01-04,5,105,Online,2,95,0.05,180.5
1007,2025-01-05,9,106,Tienda,1,140,0.0,140.0
1008,2025-01-06,6,107,Online,1,220,-0.1,242.0
1009,07/01/2025,7,104,Tienda,1,150,0.0,150.0
1010,2025-01-08,8,103,Online,4,120,0.15,408.0
