cliente_id,edad_cliente,antiguedad_meses,frecuencia_compra,ticket_promedio,dias_desde_ultima_compra,canal_preferido,tipo_cliente,region,uso_descuento,visitas_web_30d,compras_ult_90d,reclamos_ult_12m,compro_campania,valor_compra_futura,valor_real_campania
1,33,1,3,90.19,191,Online,Recurrente,Sur,0.181,7,1,0,1,145.87,145.87
2,23,2,4,59.05,42,Online,Recurrente,Centro,0.378,4,1,0,1,115.42,115.42
3,41,15,8,106.13,29,Online,Recurrente,Centro,0.337,12,3,0,1,252.9,252.9
4,38,8,5,78.85,48,Mixto,Nuevo,Oriente,0.27,7,1,0,1,174.9,174.9
5,54,1,6,83.9,10,Tienda,Nuevo,Centro,0.336,6,3,0,1,182.16,182.16
6,41,1,4,74.46,6,Online,Recurrente,Occidente,0.345,7,1,0,0,163.25,0.0
7,29,43,4,81.43,35,Tienda,Nuevo,Centro,0.464,6,2,1,1,138.38,138.38
8,20,1,6,127.6,15,Online,Mayorista,Centro,0.303,9,1,2,1,202.72,202.72
9,45,14,2,117.22,55,Mixto,Nuevo,Centro,0.217,4,1,0,0,163.84,0.0
10,35,9,3,85.14,31,Mixto,Nuevo,Sur,0.615,7,2,0,0,119.24,0.0
11,37,11,1,155.03,59,Online,Nuevo,Oriente,0.122,8,2,0,1,126.22,126.22
12,31,10,1,170.18,35,Mixto,Recurrente,Occidente,0.113,3,0,0,0,203.07,0.0
13,18,21,8,93.22,5,Tienda,Recurrente,Oriente,0.498,5,3,0,1,227.11,227.11
14,48,15,3,78.3,28,Tienda,Mayorista,Oriente,0.145,5,2,0,1,143.62,143.62
15,43,120,5,135.32,156,Mixto,Recurrente,Norte,0.452,4,3,0,0,209.44,0.0
16,40,6,5,123.53,71,Tienda,Nuevo,Centro,0.29,6,1,0,1,184.3,184.3
17,45,120,7,90.67,10,Tienda,Recurrente,Norte,0.497,5,1,0,1,188.8,188.8
18,24,21,2,111.26,38,Mixto,Recurrente,Norte,0.48,4,0,0,0,190.32,0.0
19,60,45,6,82.06,14,Tienda,Nuevo,Centro,0.224,5,2,0,1,176.62,176.62
20,34,6,3,87.3,55,Mixto,Recurrente,Centro,0.11,3,3,0,0,218.05,0.0
21,42,47,8,77.41,84,Online,Recurrente,Sur,0.202,9,3,0,1,190.89,190.89
22,46,30,2,101.9,39,Online,Recurrente,Centro,0.392,10,2,0,1,176.24,176.24
23,18,20,5,74.31,1,Mixto,Mayorista,Occidente,0.058,6,1,0,0,138.01,0.0
24,56,12,8,48.18,62,Online,Nuevo,Centro,0.114,6,1,1,0,159.07,0.0
25,39,70,4,156.91,16,Online,Recurrente,Occidente,0.24,4,2,0,1,221.08,221.08
26,19,25,5,123.1,142,Mixto,Recurrente,Norte,0.391,5,0,0,0,211.36,0.0
27,34,33,5,98.95,18,Mixto,Nuevo,Oriente,0.152,3,2,1,0,149.74,0.0
28,68,44,8,80.17,35,Tienda,Recurrente,Sur,0.219,6,2,0,1,196.97,196.97
